Field_1|Field_2|Field3|Topic|Family|pk|DOC|Author|Availability|AvailableDate|Binding|Cover|CrossReference|Description|ExtraDescription|Format|ISBN|ISSN|KeyPhrases|ListID|Note|Price|PriceNonUS|Publisher|QuantityPrice|StandingOrderCode|StatusDate|StockNumber|Subject Bibliography|SuDocsClass|Title|Unit|UnitNonUS|Weight|YearPages|Hyperlink
top new||||||govtprintingoffice||1. in stock / whse and/or retail / price|||||Economic Report of the President Transmitted to the Congress March 2013 together with the Annual Report of the Council of Economic Advisers. Contains the Economic Report of the President and the Annual Report of the Council of Economic Advisers. Item 8|||1-59804-683-7|||||48.00|||||03/21/2013|1-59804-683-7|||Economic Report of The President, 2013|||1.18||
||||||govtprintingoffice||Available at Claitors|||||EST. DELIVERY DATE 10/28/12. In general, information available as of January 1, 2012 was used in the preparation of this edition. Provides brief information on the geography, people, government, economy, communications, and defense of countries and region|||9781598046823|||||83.00|||||09-22-11|9781598046823|||The World Factbook 2012-13|||2.00||
newrel||||||govtprintingoffice||1. in stock / whse and/or retail / price|||||2012 basic manual. COF12. File Code iX.|||1-59804-675-6||||O/N 10-029.|117.00|||||02-02-12|1-59804-675-6|||Catalog of Federal Domestic Assistance 2012 Edition|||13.00||
newrel pp|||||||Marie-Antoinette Menier|Available at Claitors||||||||1-59804-674-8||||Preface by Winston De Ville|75.00||||||1-59804-674-8|||Louisiana Letters: 1678-1803|||3.00||
||||||govtprintingoffice||1. in stock / whse and/or retail / price|||||NCES 2015-XXX. The 49th in a series of publications initiated in 1962, the Digest's primary purpose is to provide a compilation of statistical information covering the broad field of American education from prekindergarten through graduate school. The Dig|||1-59804-763-9|||||69.00|||||05-11-15|1-59804-763-9|||Digest of Education Statistics 2013|||5.00||
|BF||||||Craig Winn|Available at Claitors||||||||WITG||||Print on demand - Shipping lead time is 2-3 days.|39.95||||||WITG|||Introduction to God|||3.60||
|BF||||||Craig Winn|Available at Claitors||||||||WQP||||Print on demand - Shipping lead time is 2-3 days.|39.95||||||WQP|||Questioning Paul|||3.60||
||||CFR15||CLB||Available at Claitors||||||||9781627734752|||||11.00|||||01/01/2015|9781627734752|||Code of Federal Regulations Title 1, General Provisions, 2015|||2.50||
||||CFR15||CLB||Available at Claitors||||||||9781627734769|||||8.00|||||01/01/2015|9781627734769|||Code of Federal Regulations Title 2, Grants and Agreements, 2015|||2.50||
||||CFR15||CLB||Available at Claitors||||||||9781627734776|||||40.00|||||01/01/2015|9781627734776|||Code of Federal Regulations Title 3, The President, 2015|||2.50||
||||CFR15||CLB||Available at Claitors||||||||9781627734783|||||13.00|||||01/01/2015|9781627734783|||Code of Federal Regulations Title 4, Accounts, 2015|||2.50||
||||CFR15||CLB||Available at Claitors||||||||9781627734790|||||66.00|||||01/01/2015|9781627734790|||Code of Federal Regulations Title 5, Administrative Personnel Parts 1-699, 2015|||2.50||
top new law|||||1598047469w.jpg||Musa Rahman|Available at Claitors|||||A Louisiana Handbook and Reference Guide For the Practicing Attorney and the Insurance Adjuster|||1-59804-746-9|||||89.95|||||09/08/2014|1-59804-746-9|||The Practice of Workers' Compensation Third-Party Claims and Interventions|||1.25||
newrel law|||||||Paul R Baier|Available at Claitors||||||||BSPEEC|||||25.00|||||10-06-14|BSPEEC|||SPEECHES, 2017 edition by Paul R. Baier|||0.90||
||tax|50|117||||Available at Claitors||||||||1-59804-757-4|||||225.00|||||10/01/14|TUTX62|||Tulane Law School 62nd Annual Institute on Federal Taxation, 2013-2014|||6.00||
|BF||||||Craig Winn|Available at Claitors||||||||Yada||||Print on demand - Shipping lead time is 2-3 days.|82.00||||||Yada|||Yada Yah, 2 Volumes|||6.00||
new|||||||Donald J Arceneaux|Available at Claitors||||||||1-59804-743-4|||||25.00||||||1-59804-743-4|||Attakapas Post in 1769: The First Nominal Census of Colonial Settlers in Southwest Louisiana|||1.00||
lacode lalaw new|LATITLE||||04CRIMCODE.jpg|||Available at Claitors|||||Contains the complete text of Article I of the Louisiana Constitution, the Declaration of Rights, Revised Statutes Title 14 (Criminal Law), Revised Statutes Title 15 (Criminal Procedure), and the Code of Criminal Procedure. Includes criminal provisions re|||0-314-66165-4|||||250.00||||||LAST15|||LA Handbook of Statutory Criminal Law and Procedure, 2015 ed. (Westgroup)|||3.50||
lacode lalaw||||||||Available at Claitors|||||Edited by a renowned authority, this compact Code is your ideal companion for quick answers when annotations are not immediately required. Includes commentary on 1996 Tort Revision, Res Judicata, Collateral Estoppel, and Divorce; Table of Time Delays for|||0-314-66164-6|||||245.00||||||CLAC15|||LA Code of Civil Procedure, 2015 (West Group)|||3.00||
lacode lalaw||||||||Available at Claitors|||||Contains complete text of Civil Code and Title 9 of Revised Statutes, both as revised and amended by the Legislature.|||YLAC15|||||272.00||||||YLAC15|||LA Civil Code 2015, 2 Volumes (West Group)(Superseded by new edition- NON RETURNABLE)|||5.72||
|||||||Triche|1. in stock / whse and/or retail / priced||||||||TFAM15|||||400.00||||||TFAM15|||HANDBOOK ON LOUISIANA FAMILY LAW 2015|||5.00||
lalaw lacode|||||||McGough and Triche|Available at Claitors||||||||MLAC15|||||332.00||||||MLAC15|||Louisiana Children's Code 2015(WEST)|||3.50||
|||||||Vernon Palmer|Available at Claitors||||||||1-59804-761-2|||||75.00||||||1-59804-761-2|||The Civil Law of Obligations: Louisiana Law with European Comparisons, Jan. 2015 Edition|||3.00||
lalaw new|||50|27|||Dian Tooley-Knoblett, Jeanne Louise Carrier, John|Available at Claitors||||||||1-59804-758-2P|||||100.00||||||1-59804-758-2P|||Yiannopoulos' Civil Law Property Coursebook, 10th ed., 2014 Paperbound|||3.20||
new law dict|||||9782711021246.jpg|LEXIS|Gerard Cornu|Available at Claitors|||||Translation under the supervision of Alain Levasseur and Marie-Eugenie Laporte-Legeais|||978-2-7110-2124-6|||||47.00|||||03/01/2015|978-2-7110-2124-6|||Dictionary of the Civil Code|||1.45||
|||Legal Research|dict||||Available at Claitors||||||||9780314275448|||||39.95||||||9780314275448|||Black's Law Dictionary, Pocket Edition, 4th|||2.00|2011|
lalaw|||50|37|lacorp15.jpg|claitors|Louisiana Secretary of State|Available at Claitors|||||Revised through 2017 Extraordinary Session|||1-59804-855-4||||Revised through 2017 Extraordinary Session|37.50|||||4/14/2015|1-59804-855-4|||LA Corporation Laws, 2018|||3.25||
|newrel bestsell||50|117|9781598043884.jpg|||Available at Claitors||||||||1-59804-640-3|||||52.00|||||08-01-12|1-59804-640-3|||NAICS - North American Industry Classification System, United States, 2012(Paper bound)|||5.87||
|newrel bestsell||50|117|9781598043884.jpg|||Available at Claitors||||||||1-59804-641-1|||||62.00|||||08-01-12|1-59804-641-1|||NAICS - North American Industry Classification System, United States, 2012(Cloth)|||5.87||
lalaw new|||50|128|0327007079.jpg||Prokop|Available at Claitors|||||The Author wrote Louisiana successions as an overview of the substantive and procedural Louisiana law of estates and as a practical tool for attorneys. She packed this start-to-finish guide with aids in preparing succession pleadings for at|||9780769856179|||||288.00||||||9780769856179|||Louisiana Successions 3rd Ed. 2021 Supplement, Prokop|||5.50||
||newrel|||9781598046670.jpg|Claitors|Mary Desforges Engler|Available at Claitors|||||In Mary Engler's new book, she shares the story of Lourdes as it unfolded in the Archdiocese of New Orleans in the late 19th century.|||1598046675|||||30.00||||||9781598046670|||Igniting the 19th Century Embers of Lourdes|||2.00||
lacode lalaw new|LATITLE||||04CRIMCODE.jpg|||Available at Claitors|||||Contains the complete text of Article I of the Louisiana Constitution, the Declaration of Rights, Revised Statutes Title 14 (Criminal Law), Revised Statutes Title 15 (Criminal Procedure), and the Code of Criminal Procedure. Includes criminal provisions re|||0-314-94827-9|||||213.00||||||LAST13|||LA Handbook of Statutory Criminal Law and Procedure, 2013 ed. (Westgroup)|||3.50||
lacode lalaw||||||||Available at Claitors|||||Contains complete text of Civil Code and Title 9 of Revised Statutes, both as revised and amended by the Legislature.|||17769377||||Prepublication price expires when the publication is released from the publisher.|230.00||||||YLAC13|||LA Civil Code 2013, 2 Volumes (West Group)|||5.72||
lacode lalaw||||||||Available at Claitors|||||Edited by a renowned authority, this compact Code is your ideal companion for quick answers when annotations are not immediately required. Includes commentary on 1996 Tort Revision, Res Judicata, Collateral Estoppel, and Divorce; Table of Time Delays for|||0-314-94826-0||||Prepublication price expires upon release of publication by publisher.|206.00||||||CLAC13|||LA Code of Civil Procedure, 2013 (West Group)|||3.00||
newrel lalaw|||||||Triche|1. in stock / whse and/or retail / priced||||||||0-314-60026-4|||||337.00||||||TFAM13|||HANDBOOK ON LOUISIANA FAMILY LAW 2013|||5.00||
lalaw lacode newrel|||||||McGough and Triche|Available at Claitors||||||||0-314-60023-X|||||279.00||||||MLAC13|||Louisiana Children's Code 2013(WEST)|||3.50||
||||||govtprintingoffice||Available at Claitors|||||Provides Treasury Decisions and Revenue Procedures.|||1-59804-500-8|||||85.00|||||05-25-11|1-59804-500-8|||Internal Revenue Cumulative Bulletin 2009-1 (January-June)|||2.00||
||||||govtprintingoffice||Available at Claitors|||||Provides Treasury Decisions and Revenue Procedures.|||1-59804-545-8|||||85.00|||||05-25-11|1-59804-545-8|||Internal Revenue Cumulative Bulletin 2009-2 (July-December)|||2.00||
||||||govtprintingoffice||Available at Claitors|||||Provides Treasury Decisions and Revenue Procedures.|||1-59804-566-4|||||85.00|||||05-25-11|1-59804-566-4|||Internal Revenue Cumulative Bulletin 2010-1 (January-June)|||2.00||
||||||govtprintingoffice||Available at Claitors|||||Provides Treasury Decisions and Revenue Procedures.|||1-59804-592-X|||||90.00|||||05-25-11|1-59804-592-X|||Internal Revenue Cumulative Bulletin 2010-2 (July-December)|||2.00||
||||||govtprintingoffice||Available at Claitors|||||Provides Treasury Decisions and Revenue Procedures.|||1-59804-616-0|||||90.00|||||05-25-11|1-59804-616-0|||Internal Revenue Cumulative Bulletin 2011-1 (January-June)|||2.00||
new|||||1598046268.jpg||Pete Goff, Jr.|Available at Claitors||||||||1598046268|||||49.95|||||11-1-11|GSOLVE|||Solving America's Financial Crisis: How Greed and Deception Buried Our Heads in the Sand|||1.75||
|BF||||||Stafford|Availalble at Claitors|||||paperbound reprint.|||SGRAHA|||||40.00||||||SGRAHA|||General George Mason Graham OF Tyron Plantation and His People|||2.00||
lalaw lacode|||||||McGough and Triche|Available at Claitors||||||||0-314-93075-2|||||256.00||||||MLAC12|||Louisiana Children's Code 2012(WEST)|||3.50||
|||||||Triche|1. in stock / whse and/or retail / priced||||||||17677827|||||309.00||||||TFAM12|||HANDBOOK ON LOUISIANA FAMILY LAW 2012|||5.00||
|||||1598044184w.jpg|LSU||Available at Claitors||||||||1-59804-548-2|||||75.00||||||LMIN57|||LSU Institute on Mineral Law 57th Annual 2010|||1.65||http://www.claitors.com/t_pdf/MLI_57_quickcontents.pdf
|||||1598044184w.jpg|LSU||Available at Claitors||||||||1-59804-628-4|||||75.00||||||LMIN58|||LSU Institute on Mineral Law 58th Annual 2011|||1.65||http://www.claitors.com/t_pdf/MLI_58_quickcontents.pdf
||||||govtprintingoffice||0. out of print GPO|05-29-01|perfect binding|paper||NIST Special Publication 960-6. NIST Recommended Practice Guide. Explains how to protect household appliances from electric power surges.|||0-16-050782-0||NIST Special Publication 960 6, NIST Recommended Practice Guide, Electricity, Electric Appliances||NB1284|1.00||Commerce Dept., Technology Administration, National Institute of Standards and Technology|discount||06-10-08|003-003-03687-1|041CA 053SU 290LR|C 13.10:960-6|Surges Happen!: How to Protect the Appliances in Your Home|each||0.12|2001: 20 p.; ill.|
